Natural Key;Dicofre;Freguesia;Concelho;Distrito;Latitude;Longitude
FreiriaTORRES VEDRASLISBOA;111306;Freiria;TORRES VEDRAS;LISBOA;95130.1575;-75802.073
Alcórrego e MaranhãoAVISPORTALEGRE;120309;Alcórrego e Maranhão;AVIS;PORTALEGRE;-102802.1;-70290.934
Santa EuláliaELVASPORTALEGRE;120706;Santa Eulália;ELVAS;PORTALEGRE;14134.5444;-73721.976
Coruche, Fajarda e ErraCORUCHESANTARÉM;140909;Coruche, Fajarda e Erra;CORUCHE;SANTARÉM;75363.9503;-72809.9
CarnotaALENQUERLISBOA;110106;Carnota;ALENQUER;LISBOA;-32341.489;-78669.183
EncarnaçãoMAFRALISBOA;110904;Encarnação;MAFRA;LISBOA;-80925.412;-69456.665
TurcifalTORRES VEDRASLISBOA;111317;Turcifal;TORRES VEDRAS;LISBOA;-108192.49;-69469.014
MarinhaisSALVATERRA DE MAGOSSANTARÉM;141502;Marinhais;SALVATERRA DE MAGOS;SANTARÉM;-97386.642;-69631.094
Salvaterra de Magos e Foros de SalvaterraSALVATERRA DE MAGOSSANTARÉM;141508;Salvaterra de Magos e Foros de Salvaterra;SALVATERRA DE MAGOS;SANTARÉM;-48841.026;-69921.119
Vila Nova da RainhaAZAMBUJALISBOA;110307;Vila Nova da Rainha;AZAMBUJA;LISBOA;-53184.007;-72405.774
Ribafria e Pereiro de PalhacanaALENQUERLISBOA;110121;Ribafria e Pereiro de Palhacana;ALENQUER;LISBOA;-68182.123;-69466.259
São SaturninoFRONTEIRAPORTALEGRE;120803;São Saturnino;FRONTEIRA;PORTALEGRE;-83555.306;-67502.256
Dois Portos e RunaTORRES VEDRASLISBOA;111324;Dois Portos e Runa;TORRES VEDRAS;LISBOA;49316.8035;-69985.524
VentosaTORRES VEDRASLISBOA;111318;Ventosa;TORRES VEDRAS;LISBOA;-91493.901;-68867.115
ErvedalAVISPORTALEGRE;120305;Ervedal;AVIS;PORTALEGRE;-102699.74;-66668.677
CouçoCORUCHESANTARÉM;140902;Couço;CORUCHE;SANTARÉM;27921.7337;-70246.341
Alenquer (Santo Estêvão e Triana)ALENQUERLISBOA;110119;Alenquer (Santo Estêvão e Triana);ALENQUER;LISBOA;-13966.392;-80030.768
Glória do Ribatejo e GranhoSALVATERRA DE MAGOSSANTARÉM;141507;Glória do Ribatejo e Granho;SALVATERRA DE MAGOS;SANTARÉM;-74655.558;-67029.855
São José da LamarosaCORUCHESANTARÉM;140903;São José da Lamarosa;CORUCHE;SANTARÉM;-43138.872;-68658.767
Carvoeira e CarmõesTORRES VEDRASLISBOA;111323;Carvoeira e Carmões;TORRES VEDRAS;LISBOA;-31512.046;-66361.621
São Pedro da CadeiraTORRES VEDRASLISBOA;111314;São Pedro da Cadeira;TORRES VEDRAS;LISBOA;-88670.592;-65534.548
Nossa Senhora da Graça dos DegoladosCAMPO MAIORPORTALEGRE;120402;Nossa Senhora da Graça dos Degolados;CAMPO MAIOR;PORTALEGRE;-108377.78;-64842.949
Figueira e BarrosAVISPORTALEGRE;120306;Figueira e Barros;AVIS;PORTALEGRE;88627.1413;-66214.124
MecaALENQUERLISBOA;110107;Meca;ALENQUER;LISBOA;32850.505;-67906.608
São João BaptistaCAMPO MAIORPORTALEGRE;120403;São João Baptista;CAMPO MAIOR;PORTALEGRE;-78159.817;-64071.704
MonforteMONFORTEPORTALEGRE;121102;Monforte;MONFORTE;PORTALEGRE;94113.2646;-67234.828
OlhalvoALENQUERLISBOA;110108;Olhalvo;ALENQUER;LISBOA;62236.7301;-70479.978
AzambujaAZAMBUJALISBOA;110304;Azambuja;AZAMBUJA;LISBOA;-80176.378;-62719.277
Aldeia VelhaAVISPORTALEGRE;120302;Aldeia Velha;AVIS;PORTALEGRE;-63649.959;-66189.086
Aveiras de BaixoAZAMBUJALISBOA;110302;Aveiras de Baixo;AZAMBUJA;LISBOA;7821.85641;-66801.855
Ponte do RolTORRES VEDRASLISBOA;111310;Ponte do Rol;TORRES VEDRAS;LISBOA;-61217.131;-62549.85
MugeSALVATERRA DE MAGOSSANTARÉM;141503;Muge;SALVATERRA DE MAGOS;SANTARÉM;-102523.88;-62398.835
Vale do ParaísoAZAMBUJALISBOA;110306;Vale do Paraíso;AZAMBUJA;LISBOA;-48254.579;-63253.454
Aldeia Galega da Merceana e Aldeia GavinhaALENQUERLISBOA;110118;Aldeia Galega da Merceana e Aldeia Gavinha;ALENQUER;LISBOA;-65462.999;-60872.612
Santa Maria, São Pedro e MatacãesTORRES VEDRASLISBOA;111326;Santa Maria, São Pedro e Matacães;TORRES VEDRAS;LISBOA;-85107.483;-63519.997
FronteiraFRONTEIRAPORTALEGRE;120802;Fronteira;FRONTEIRA;PORTALEGRE;-96649.902;-63082.482
SilveiraTORRES VEDRASLISBOA;111316;Silveira;TORRES VEDRAS;LISBOA;40376.2181;-66201.791
Vale da PedraCARTAXOSANTARÉM;140608;Vale da Pedra;CARTAXO;SANTARÉM;-105946.34;-61038.339
VentosaALENQUERLISBOA;110113;Ventosa;ALENQUER;LISBOA;-57390.329;-60570.236
Cabeço de VideFRONTEIRAPORTALEGRE;120801;Cabeço de Vide;FRONTEIRA;PORTALEGRE;-82837.22;-60194.456
AssunçãoARRONCHESPORTALEGRE;120201;Assunção;ARRONCHES;PORTALEGRE;47789.7885;-61667.233
RaposaALMEIRIMSANTARÉM;140304;Raposa;ALMEIRIM;SANTARÉM;77004.0885;-63680.927
AvisAVISPORTALEGRE;120303;Avis;AVIS;PORTALEGRE;-34073.234;-59903.116
VaiamonteMONFORTEPORTALEGRE;121104;Vaiamonte;MONFORTE;PORTALEGRE;19913.0076;-66231
Aveiras de CimaAZAMBUJALISBOA;110303;Aveiras de Cima;AZAMBUJA;LISBOA;54301.8323;-62534.097
Benfica do RibatejoALMEIRIMSANTARÉM;140302;Benfica do Ribatejo;ALMEIRIM;SANTARÉM;-67654.876;-57601.233
Maxial e Monte RedondoTORRES VEDRASLISBOA;111325;Maxial e Monte Redondo;TORRES VEDRAS;LISBOA;-46307.54;-58575.517
PontévelCARTAXOSANTARÉM;140604;Pontével;CARTAXO;SANTARÉM;-90259.151;-58620.134
OtaALENQUERLISBOA;110109;Ota;ALENQUER;LISBOA;-61218.699;-58056.75
ValadaCARTAXOSANTARÉM;140605;Valada;CARTAXO;SANTARÉM;-72425.872;-59684.43
Ereira e LapaCARTAXOSANTARÉM;140610;Ereira e Lapa;CARTAXO;SANTARÉM;-53365.848;-61406.689
Vila Verde dos FrancosALENQUERLISBOA;110114;Vila Verde dos Francos;ALENQUER;LISBOA;-64471.567;-55073.225
Abrigada e Cabanas de TorresALENQUERLISBOA;110117;Abrigada e Cabanas de Torres;ALENQUER;LISBOA;-84908.884;-56323.314
AssumarMONFORTEPORTALEGRE;121101;Assumar;MONFORTE;PORTALEGRE;-77501.517;-57335.438
RamalhalTORRES VEDRASLISBOA;111311;Ramalhal;TORRES VEDRAS;LISBOA;60094.3376;-58153.266
A dos Cunhados e MaceiraTORRES VEDRASLISBOA;111321;A dos Cunhados e Maceira;TORRES VEDRAS;LISBOA;-94598.536;-56251.275
Cartaxo e Vale da PintaCARTAXOSANTARÉM;140609;Cartaxo e Vale da Pinta;CARTAXO;SANTARÉM;-102656.22;-56252.447
MosteirosARRONCHESPORTALEGRE;120203;Mosteiros;ARRONCHES;PORTALEGRE;-57594.645;-55611.444
Fazendas de AlmeirimALMEIRIMSANTARÉM;140303;Fazendas de Almeirim;ALMEIRIM;SANTARÉM;72224.2578;-55207.35
VilarCADAVALLISBOA;110410;Vilar;CADAVAL;LISBOA;-34253.619;-55292.881
EsperançaARRONCHESPORTALEGRE;120202;Esperança;ARRONCHES;PORTALEGRE;-83799.075;-53048.681
MontargilPONTE DE SORPORTALEGRE;121302;Montargil;PONTE DE SOR;PORTALEGRE;81155.43;-55905.193
Vila Chã de OuriqueCARTAXOSANTARÉM;140607;Vila Chã de Ourique;CARTAXO;SANTARÉM;-3165.8587;-63022.544
Vale de SantarémSANTARÉMSANTARÉM;141625;Vale de Santarém;SANTARÉM;SANTARÉM;-53396.539;-54730.04
VimeiroLOURINHÃLISBOA;110808;Vimeiro;LOURINHÃ;LISBOA;-52352.344;-52281.166
GalveiasPONTE DE SORPORTALEGRE;121301;Galveias;PONTE DE SOR;PORTALEGRE;-100760.86;-52471.832
Foros de ArrãoPONTE DE SORPORTALEGRE;121304;Foros de Arrão;PONTE DE SOR;PORTALEGRE;11735.4861;-55868.941
Benavila e ValongoAVISPORTALEGRE;120310;Benavila e Valongo;AVIS;PORTALEGRE;-10445.197;-57423.697
Campelos e Outeiro da CabeçaTORRES VEDRASLISBOA;111322;Campelos e Outeiro da Cabeça;TORRES VEDRAS;LISBOA;23475.0061;-58364.858
Santa BárbaraLOURINHÃLISBOA;110806;Santa Bárbara;LOURINHÃ;LISBOA;-93949.713;-52457.504
RibamarLOURINHÃLISBOA;110810;Ribamar;LOURINHÃ;LISBOA;-101549.2;-50708.518
SedaALTER DO CHÃOPORTALEGRE;120103;Seda;ALTER DO CHÃO;PORTALEGRE;-103833.61;-50624.829
Póvoa da IsentaSANTARÉMSANTARÉM;141616;Póvoa da Isenta;SANTARÉM;SANTARÉM;32630.5448;-54274.126
AlmeirimALMEIRIMSANTARÉM;140301;Almeirim;ALMEIRIM;SANTARÉM;-53669.689;-49598.192
Manique do Intendente, Vila Nova de São Pedro e MaçussaAZAMBUJALISBOA;110310;Manique do Intendente, Vila Nova de São Pedro e Maçussa;AZAMBUJA;LISBOA;-43361.87;-53263.452
Miragaia e MarteleiraLOURINHÃLISBOA;110813;Miragaia e Marteleira;LOURINHÃ;LISBOA;-64812.804;-50905.615
AlcoentreAZAMBUJALISBOA;110301;Alcoentre;AZAMBUJA;LISBOA;-97396.576;-49234.643
Lamas e CercalCADAVALLISBOA;110412;Lamas e Cercal;CADAVAL;LISBOA;-71622.678;-50537.604
Cadaval e Pêro MonizCADAVALLISBOA;110411;Cadaval e Pêro Moniz;CADAVAL;LISBOA;-78324.506;-49801.525
Alter do ChãoALTER DO CHÃOPORTALEGRE;120101;Alter do Chão;ALTER DO CHÃO;PORTALEGRE;-85858.716;-49081.626
Moita dos FerreirosLOURINHÃLISBOA;110803;Moita dos Ferreiros;LOURINHÃ;LISBOA;42127.2208;-52316.486
AlmosterSANTARÉMSANTARÉM;141606;Almoster;SANTARÉM;SANTARÉM;-93483.729;-47302.731
Marmeleira e AssentizRIO MAIORSANTARÉM;141416;Marmeleira e Assentiz;RIO MAIOR;SANTARÉM;-58161.025;-47811.548
UrraPORTALEGREPORTALEGRE;121410;Urra;PORTALEGRE;PORTALEGRE;-61805.428;-45061.335
ArrouquelasRIO MAIORSANTARÉM;141402;Arrouquelas;RIO MAIOR;SANTARÉM;61596.6712;-50174.487
PeralCADAVALLISBOA;110407;Peral;CADAVAL;LISBOA;-68583.307;-45077.754
União de Freguesias da cidade de SantarémSANTARÉMSANTARÉM;141633;União de Freguesias da cidade de Santarém;SANTARÉM;SANTARÉM;-79477.113;-45163.524
ChancelariaALTER DO CHÃOPORTALEGRE;120102;Chancelaria;ALTER DO CHÃO;PORTALEGRE;-47945.964;-47612.049
Bombarral e Vale CovoBOMBARRALLEIRIA;100506;Bombarral e Vale Covo;BOMBARRAL;LEIRIA;28554.3165;-45736.682
AlegretePORTALEGREPORTALEGRE;121402;Alegrete;PORTALEGRE;PORTALEGRE;-89302.717;-46042.094
Lourinhã e AtalaiaLOURINHÃLISBOA;110812;Lourinhã e Atalaia;LOURINHÃ;LISBOA;71635.9559;-47698.264
VermelhaCADAVALLISBOA;110409;Vermelha;CADAVAL;LISBOA;-100966.63;-45464.121
AlguberCADAVALLISBOA;110401;Alguber;CADAVAL;LISBOA;-82949.041;-43322.875
MoçarriaSANTARÉMSANTARÉM;141613;Moçarria;SANTARÉM;SANTARÉM;-75364.598;-43382.911
AvelosoMÊDAGUARDA;90901;Aveloso;MÊDA;GUARDA;-55130.458;-43443.329
Canedo, Vale e Vila MaiorSANTA MARIA DA FEIRAAVEIRO;10933;Canedo, Vale e Vila Maior;SANTA MARIA DA FEIRA;AVEIRO;69219.0026;140710.279
MansoresAROUCAAVEIRO;10413;Mansores;AROUCA;AVEIRO;-25433.435;142717.006
FaiaSERNANCELHEVISEU;181806;Faia;SERNANCELHE;VISEU;-19426.144;140661.44
RomarizSANTA MARIA DA FEIRAAVEIRO;10922;Romariz;SANTA MARIA DA FEIRA;AVEIRO;49374.3828;142350.694
Vila da RuaMOIMENTA DA BEIRAVISEU;180716;Vila da Rua;MOIMENTA DA BEIRA;VISEU;-26571.91;143687.397
Mata de LobosFIGUEIRA DE CASTELO RODRIGOGUARDA;90410;Mata de Lobos;FIGUEIRA DE CASTELO RODRIGO;GUARDA;47495.8226;141865.702
CujóCASTRO DAIREVISEU;180305;Cujó;CASTRO DAIRE;VISEU;105126.386;138891.256
Santa EuláliaAROUCAAVEIRO;10416;Santa Eulália;AROUCA;AVEIRO;25249.4253;141568.805
Pêra Velha, Aldeia de Nacomba e ArizMOIMENTA DA BEIRAVISEU;180722;Pêra Velha, Aldeia de Nacomba e Ariz;MOIMENTA DA BEIRA;VISEU;-11859.094;140883.676
Rio MeãoSANTA MARIA DA FEIRAAVEIRO;10921;Rio Meão;SANTA MARIA DA FEIRA;AVEIRO;40473.989;140425.113
BeselgaPENEDONOVISEU;181202;Beselga;PENEDONO;VISEU;-38147.609;143154.02
EscarizAROUCAAVEIRO;10409;Escariz;AROUCA;AVEIRO;60397.5476;142306.23
São João de VerSANTA MARIA DA FEIRAAVEIRO;10926;São João de Ver;SANTA MARIA DA FEIRA;AVEIRO;-21525.694;141382.363
Vale do CôaPINHELGUARDA;91033;Vale do Côa;PINHEL;GUARDA;-35029.791;142836.306
PinheiroCASTRO DAIREVISEU;180319;Pinheiro;CASTRO DAIRE;VISEU;84668.1008;136055.94
EsmorizOVARAVEIRO;11503;Esmoriz;OVAR;AVEIRO;12441.8072;141405.113
Picão e ErmidaCASTRO DAIREVISEU;180326;Picão e Ermida;CASTRO DAIRE;VISEU;-41545.081;143517.265
MonteirasCASTRO DAIREVISEU;180314;Monteiras;CASTRO DAIRE;VISEU;15387.0232;141991.069
Caldas de São Jorge e PigeirosSANTA MARIA DA FEIRAAVEIRO;10932;Caldas de São Jorge e Pigeiros;SANTA MARIA DA FEIRA;AVEIRO;22064.3497;142874.706
Parada de Ester e EsterCASTRO DAIREVISEU;180325;Parada de Ester e Ester;CASTRO DAIRE;VISEU;-30582.986;142841.573
Prova e CasteiçãoMÊDAGUARDA;90918;Prova e Casteição;MÊDA;GUARDA;7687.32715;141563.931
AlmofalaCASTRO DAIREVISEU;180301;Almofala;CASTRO DAIRE;VISEU;67533.2069;138501.95
Antas e OurozinhoPENEDONOVISEU;181210;Antas e Ourozinho;PENEDONO;VISEU;29416.0446;143203.013
ArcozelosMOIMENTA DA BEIRAVISEU;180703;Arcozelos;MOIMENTA DA BEIRA;VISEU;64535.1342;141897.928
TropeçoAROUCAAVEIRO;10418;Tropeço;AROUCA;AVEIRO;45953.4078;144464.446
ChosendoSERNANCELHEVISEU;181803;Chosendo;SERNANCELHE;VISEU;-16001.601;141936.012
ParamosESPINHOAVEIRO;10704;Paramos;ESPINHO;AVEIRO;56961.5627;143710.191
Paços de BrandãoSANTA MARIA DA FEIRAAVEIRO;10919;Paços de Brandão;SANTA MARIA DA FEIRA;AVEIRO;-42092.41;145253.316
CabrilCASTRO DAIREVISEU;180303;Cabril;CASTRO DAIRE;VISEU;-38504.152;145045.52
Algodres, Vale de Afonsinho e Vilar de AmargoFIGUEIRA DE CASTELO RODRIGOGUARDA;90418;Algodres, Vale de Afonsinho e Vilar de Amargo;FIGUEIRA DE CASTELO RODRIGO;GUARDA;3466.74003;143651.485
Santa Maria de LamasSANTA MARIA DA FEIRAAVEIRO;10925;Santa Maria de Lamas;SANTA MARIA DA FEIRA;AVEIRO;91858.4266;141782.432
AlviteMOIMENTA DA BEIRAVISEU;180702;Alvite;MOIMENTA DA BEIRA;VISEU;-36562.043;145634.477
FermedoAROUCAAVEIRO;10411;Fermedo;AROUCA;AVEIRO;34972.5425;143844.244
Mezio e Moura MortaCASTRO DAIREVISEU;180324;Mezio e Moura Morta;CASTRO DAIRE;VISEU;-21236.992;144051.777
Ovadas e PanchorraRESENDEVISEU;181319;Ovadas e Panchorra;RESENDE;VISEU;19529.2956;144894.107
Alhões, Bustelo, Gralheira e RamiresCINFÃESVISEU;180418;Alhões, Bustelo, Gralheira e Ramires;CINFÃES;VISEU;14324.2824;151664.282
ArcosTABUAÇOVISEU;181902;Arcos;TABUAÇO;VISEU;11470.7581;148221.828
Gouviães e UcanhaTAROUCAVISEU;182011;Gouviães e Ucanha;TAROUCA;VISEU;47384.8375;153800.77
ArcozeloVILA NOVA DE GAIAPORTO;131701;Arcozelo;VILA NOVA DE GAIA;PORTO;32567.5809;153723.35
Póvoa de PenelaPENEDONOVISEU;181208;Póvoa de Penela;PENEDONO;VISEU;-42643.797;154257.734
LombaGONDOMARPORTO;130405;Lomba;GONDOMAR;PORTO;62695.1311;153537.013
Serzedo e PerosinhoVILA NOVA DE GAIAPORTO;131731;Serzedo e Perosinho;VILA NOVA DE GAIA;PORTO;-23137.23;151690.033
AlpiarçaALPIARÇASANTARÉM;140401;Alpiarça;ALPIARÇA;SANTARÉM;-39304.4;153911.515
AlcainsCASTELO BRANCOCASTELO BRANCO;50201;Alcains;CASTELO BRANCO;CASTELO BRANCO;-37765.285;-47331.312
Vila FacaiaPEDRÓGÃO GRANDELEIRIA;101303;Vila Facaia;PEDRÓGÃO GRANDE;LEIRIA;58257.6005;28200.7004
SarzedasCASTELO BRANCOCASTELO BRANCO;50223;Sarzedas;CASTELO BRANCO;CASTELO BRANCO;-7162.8774;29963.1867
CoimbrãoLEIRIALEIRIA;100909;Coimbrão;LEIRIA;LEIRIA;37987.5942;22435.5723
MadeirãOLEIROSCASTELO BRANCO;50606;Madeirã;OLEIROS;CASTELO BRANCO;-66767.899;28087.2415
Santiago da GuardaANSIÃOLEIRIA;100307;Santiago da Guarda;ANSIÃO;LEIRIA;7383.02666;29603.6006
ToulõesIDANHA-A-NOVACASTELO BRANCO;50516;Toulões;IDANHA-A-NOVA;CASTELO BRANCO;-30462.962;29882.2399
PombalPOMBALLEIRIA;101509;Pombal;POMBAL;LEIRIA;94908.7531;30430.2094
TinalhasCASTELO BRANCOCASTELO BRANCO;50225;Tinalhas;CASTELO BRANCO;CASTELO BRANCO;-43385.606;27399.3526
AnsiãoANSIÃOLEIRIA;100309;Ansião;ANSIÃO;LEIRIA;51268.3892;31663.1915
Guia, Ilha e Mata MouriscaPOMBALLEIRIA;101518;Guia, Ilha e Mata Mourisca;POMBAL;LEIRIA;-25063.28;29896.6679
SobralOLEIROSCASTELO BRANCO;50611;Sobral;OLEIROS;CASTELO BRANCO;-55653.86;30540.6705
Escalos de Cima e LousaCASTELO BRANCOCASTELO BRANCO;50228;Escalos de Cima e Lousa;CASTELO BRANCO;CASTELO BRANCO;10479.5797;31044.3294
CumeeiraPENELACOIMBRA;61401;Cumeeira;PENELA;COIMBRA;64781.8329;30320.0111
AgudaFIGUEIRÓ DOS VINHOSLEIRIA;100801;Aguda;FIGUEIRÓ DOS VINHOS;LEIRIA;-19542.629;31802.4692
Póvoa de Rio de Moinhos e CafedeCASTELO BRANCOCASTELO BRANCO;50231;Póvoa de Rio de Moinhos e Cafede;CASTELO BRANCO;CASTELO BRANCO;-15671.752;29716.1411
PelarigaPOMBALLEIRIA;101508;Pelariga;POMBAL;LEIRIA;53713.6391;29616.9366
Idanha-a-Nova e AlcafozesIDANHA-A-NOVACASTELO BRANCO;50518;Idanha-a-Nova e Alcafozes;IDANHA-A-NOVA;CASTELO BRANCO;-40775.988;32516.2041
ÁlvaroOLEIROSCASTELO BRANCO;50601;Álvaro;OLEIROS;CASTELO BRANCO;80157.7226;26651.8925
OledoIDANHA-A-NOVACASTELO BRANCO;50509;Oledo;IDANHA-A-NOVA;CASTELO BRANCO;14398.0518;33087.4367
Sarnadas de São SimãoOLEIROSCASTELO BRANCO;50610;Sarnadas de São Simão;OLEIROS;CASTELO BRANCO;70597.9309;33494.9081
Degracias e PombalinhoSOURECOIMBRA;61513;Degracias e Pombalinho;SOURE;COIMBRA;34222.3661;31852.2374
Estreito-Vilar BarrocoOLEIROSCASTELO BRANCO;50613;Estreito-Vilar Barroco;OLEIROS;CASTELO BRANCO;-25237.056;36970.2197
Ninho do Açor e Sobral do CampoCASTELO BRANCOCASTELO BRANCO;50230;Ninho do Açor e Sobral do Campo;CASTELO BRANCO;CASTELO BRANCO;29389.1865;30281.9847
Monfortinho e Salvaterra do ExtremoIDANHA-A-NOVACASTELO BRANCO;50519;Monfortinho e Salvaterra do Extremo;IDANHA-A-NOVA;CASTELO BRANCO;48700.4357;34779.9801
LardosaCASTELO BRANCOCASTELO BRANCO;50211;Lardosa;CASTELO BRANCO;CASTELO BRANCO;101798.562;30157.3016
AlvorgeANSIÃOLEIRIA;100301;Alvorge;ANSIÃO;LEIRIA;60238.1567;35382.3514
Portela do Fojo-MachioPAMPILHOSA DA SERRACOIMBRA;61212;Portela do Fojo-Machio;PAMPILHOSA DA SERRA;COIMBRA;-27321.679;35422.1036
Oleiros-AmieiraOLEIROSCASTELO BRANCO;50614;Oleiros-Amieira;OLEIROS;CASTELO BRANCO;7505.25829;35333.8832
RedinhaPOMBALLEIRIA;101510;Redinha;POMBAL;LEIRIA;20206.7786;28688.2274
AlmagreiraPOMBALLEIRIA;101503;Almagreira;POMBAL;LEIRIA;-37518.333;35286.5169
OrvalhoOLEIROSCASTELO BRANCO;50609;Orvalho;OLEIROS;CASTELO BRANCO;-32387.305;36863.6681
Pedrógão GrandePEDRÓGÃO GRANDELEIRIA;101302;Pedrógão Grande;PEDRÓGÃO GRANDE;LEIRIA;31599.6482;38138.6494
EspinhalPENELACOIMBRA;61402;Espinhal;PENELA;COIMBRA;-2246.8301;31195.3622
LouriçalPOMBALLEIRIA;101506;Louriçal;POMBAL;LEIRIA;-15225.784;37243.631
CarriçoPOMBALLEIRIA;101505;Carriço;POMBAL;LEIRIA;-52733.768;37629.3916
Gesteira e BrunhósSOURECOIMBRA;61514;Gesteira e Brunhós;SOURE;COIMBRA;-61281.907;36139.7891
AlcongostaFUNDÃOCASTELO BRANCO;50403;Alcongosta;FUNDÃO;CASTELO BRANCO;-45869.81;46279.6738
AlqueidãoFIGUEIRA DA FOZCOIMBRA;60502;Alqueidão;FIGUEIRA DA FOZ;COIMBRA;54833.5077;49642.4961
Condeixa-a-Velha e Condeixa-a-NovaCONDEIXA-A-NOVACOIMBRA;60411;Condeixa-a-Velha e Condeixa-a-Nova;CONDEIXA-A-NOVA;COIMBRA;-55053.859;47828.746
Vila Seca e Bem da FéCONDEIXA-A-NOVACOIMBRA;60413;Vila Seca e Bem da Fé;CONDEIXA-A-NOVA;COIMBRA;-29453.108;48054.0327
AranhasPENAMACORCASTELO BRANCO;50704;Aranhas;PENAMACOR;CASTELO BRANCO;-24738.601;47870.5282
Souto da CasaFUNDÃOCASTELO BRANCO;50426;Souto da Casa;FUNDÃO;CASTELO BRANCO;85977.4393;49891.6588
EgaCONDEIXA-A-NOVACOIMBRA;60406;Ega;CONDEIXA-A-NOVA;COIMBRA;49757.9342;47981.5684
BarrocaFUNDÃOCASTELO BRANCO;50408;Barroca;FUNDÃO;CASTELO BRANCO;-35607.176;47828.4286
Aldeia do Bispo, Águas e Aldeia de João PiresPENAMACORCASTELO BRANCO;50713;Aldeia do Bispo, Águas e Aldeia de João Pires;PENAMACOR;CASTELO BRANCO;35703.1622;48944.6072
CabrilPAMPILHOSA DA SERRACOIMBRA;61201;Cabril;PAMPILHOSA DA SERRA;COIMBRA;81537.3237;49097.9522
Dornelas do ZêzerePAMPILHOSA DA SERRACOIMBRA;61202;Dornelas do Zêzere;PAMPILHOSA DA SERRA;COIMBRA;20559.9015;47197.6132
GândarasLOUSÃCOIMBRA;60706;Gândaras;LOUSÃ;COIMBRA;31873.7121;49446.106
LavosFIGUEIRA DA FOZCOIMBRA;60522;Lavos;FIGUEIRA DA FOZ;COIMBRA;-12308.777;51059.2237
Vila Nova de AnçosSOURECOIMBRA;61511;Vila Nova de Anços;SOURE;COIMBRA;-60463.681;47380.0546
Sebal e BelideCONDEIXA-A-NOVACOIMBRA;60412;Sebal e Belide;CONDEIXA-A-NOVA;COIMBRA;-41966.31;50065.7826
São PedroFIGUEIRA DA FOZCOIMBRA;60514;São Pedro;FIGUEIRA DA FOZ;COIMBRA;-33749.329;51217.3753
Abrunheira, Verride e Vila Nova da BarcaMONTEMOR-O-VELHOCOIMBRA;61015;Abrunheira, Verride e Vila Nova da Barca;MONTEMOR-O-VELHO;COIMBRA;-61407.521;51471.9178
AlcaideFUNDÃOCASTELO BRANCO;50401;Alcaide;FUNDÃO;CASTELO BRANCO;-49265.891;51488.8653
LavacolhosFUNDÃOCASTELO BRANCO;50419;Lavacolhos;FUNDÃO;CASTELO BRANCO;60353.4659;51614.3754
CastelejoFUNDÃOCASTELO BRANCO;50412;Castelejo;FUNDÃO;CASTELO BRANCO;42577.809;50845.6518
Lousã e VilarinhoLOUSÃCOIMBRA;60708;Lousã e Vilarinho;LOUSÃ;COIMBRA;45085.5703;49057.0527
Figueiró do CampoSOURECOIMBRA;61504;Figueiró do Campo;SOURE;COIMBRA;-8214.9042;48711.6877
CernacheCOIMBRACOIMBRA;60312;Cernache;COIMBRA;COIMBRA;-37714.356;54171.7716
Miranda do CorvoMIRANDA DO CORVOCOIMBRA;60902;Miranda do Corvo;MIRANDA DO CORVO;COIMBRA;-28221.169;51911.3464
AlmalaguêsCOIMBRACOIMBRA;60301;Almalaguês;COIMBRA;COIMBRA;-16631.404;47736.1592
Aldeia de São Francisco de AssisCOVILHÃCASTELO BRANCO;50302;Aldeia de São Francisco de Assis;COVILHÃ;CASTELO BRANCO;-21991.805;51536.5549
Vila VerdeFIGUEIRA DA FOZCOIMBRA;60513;Vila Verde;FIGUEIRA DA FOZ;COIMBRA;33718.1194;53165.7736
SilvaresFUNDÃOCASTELO BRANCO;50424;Silvares;FUNDÃO;CASTELO BRANCO;-56537.11;52497.2962
Vale de Prazeres e Mata da RainhaFUNDÃOCASTELO BRANCO;50436;Vale de Prazeres e Mata da Rainha;FUNDÃO;CASTELO BRANCO;-39432.382;53146.2365
EreiraMONTEMOR-O-VELHOCOIMBRA;61014;Ereira;MONTEMOR-O-VELHO;COIMBRA;66357.4462;50242.363
AlfarelosSOURECOIMBRA;61501;Alfarelos;SOURE;COIMBRA;-48585.92;54137.2001
Granja do UlmeiroSOURECOIMBRA;61506;Granja do Ulmeiro;SOURE;COIMBRA;-44047.221;53649.4942
AnobraCONDEIXA-A-NOVACOIMBRA;60401;Anobra;CONDEIXA-A-NOVA;COIMBRA;-42412.132;54692.5145
Unhais-o-VelhoPAMPILHOSA DA SERRACOIMBRA;61209;Unhais-o-Velho;PAMPILHOSA DA SERRA;COIMBRA;-33074.933;53964.7171
TelhadoFUNDÃOCASTELO BRANCO;50427;Telhado;FUNDÃO;CASTELO BRANCO;26913.4262;52410.4296
Covas e Vila Nova de OliveirinhaTÁBUACOIMBRA;61617;Covas e Vila Nova de Oliveirinha;TÁBUA;COIMBRA;48822.415;54181.1611
CandosaTÁBUACOIMBRA;61602;Candosa;TÁBUA;COIMBRA;17174.9572;75761.5834
QuadrazaisSABUGALGUARDA;91123;Quadrazais;SABUGAL;GUARDA;13905.0728;75522.8797
SandomilSEIAGUARDA;91212;Sandomil;SEIA;GUARDA;96436.0414;72957.6086
