Natural Key;Dicofre;Freguesia;Concelho;Distrito;Latitude;Longitude
São Domingos de BenficaLISBOALISBOA;110639;São Domingos de Benfica;LISBOA;LISBOA;-15393.246;-208967.9
AlcabidecheCASCAISLISBOA;110501;Alcabideche;CASCAIS;LISBOA;-90697.106;-101822.22
BenficaLISBOALISBOA;110608;Benfica;LISBOA;LISBOA;-116987.3;-100439.16
VenteiraAMADORALISBOA;111517;Venteira;AMADORA;LISBOA;-117303.12;-100218.21
MarvilaLISBOALISBOA;110621;Marvila;LISBOA;LISBOA;-96401.439;-101736.67
AlvaladeLISBOALISBOA;110654;Alvalade;LISBOA;LISBOA;-85007.955;-101720.31
São Bento do MatoÉVORAÉVORA;70506;São Bento do Mato;ÉVORA;ÉVORA;-88090.661;-101025.7
Massamá e Monte AbraãoSINTRALISBOA;111125;Massamá e Monte Abraão;SINTRA;LISBOA;29230.9067;-106869.37
Falagueira-Venda NovaAMADORALISBOA;111515;Falagueira-Venda Nova;AMADORA;LISBOA;-99218.353;-100596.55
BencatelVILA VIÇOSAÉVORA;71401;Bencatel;VILA VIÇOSA;ÉVORA;-112011.24;-102035.67
Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto)ALANDROALÉVORA;70107;Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto);ALANDROAL;ÉVORA;58524.2648;-104775.72
CarnideLISBOALISBOA;110611;Carnide;LISBOA;LISBOA;69095.8823;-110443.8
Romeira e VárzeaSANTARÉMSANTARÉM;141632;Romeira e Várzea;SANTARÉM;SANTARÉM;-91574.025;-99730.457
CunheiraALTER DO CHÃOPORTALEGRE;120104;Cunheira;ALTER DO CHÃO;PORTALEGRE;-51703.913;-42044.584
CarvalhalBOMBARRALLEIRIA;100502;Carvalhal;BOMBARRAL;LEIRIA;30124.3164;-41055.599
A dos FrancosCALDAS DA RAINHALEIRIA;100601;A dos Francos;CALDAS DA RAINHA;LEIRIA;-85491.612;-41025.654
Aldeia da MataCRATOPORTALEGRE;120601;Aldeia da Mata;CRATO;PORTALEGRE;-79452.173;-38290.87
PóBOMBARRALLEIRIA;100505;Pó;BOMBARRAL;LEIRIA;34965.2012;-39670.927
