Territorios;MUNICIPIO;Total - 2019;Aterro - 2019;Valorizacao energetica - 2019;Valorizacao organica - 2019;Reciclagem - 2019
Municipio;AVEIRO;36,588;10,775;29;21,697;4,087
Municipio;ESTARREJA;9,962;3,479;8;5,312;1,163
Municipio;ILHAVO;18,308;5,744;12;10,678;1,874
Municipio;MURTOSA;4,906;2,005;2;2,417;482
Municipio;OLIVEIRA DO BAIRRO;8,798;2,407;8;5,193;1,191
Municipio;OVAR;27,406;8,783;16;15,879;2,729
Municipio;SEVER DO VOUGA;3,115;834;4;1,713;564
Municipio;VAGOS;9,135;2,622;6;5,484;1,023
Municipio;ARGANIL;4,473;1,492;4;2,409;568
Municipio;CANTANHEDE;13,137;3,612;15;7,149;2,361
Municipio;COIMBRA;60,152;18,001;68;33,759;8,324
Municipio;CONDEIXA-A-NOVA;6,208;1,785;7;3,54;876
Municipio;FIGUEIRA DA FOZ;30,078;9,387;23;17,287;3,382
Municipio;GOIS;1,51;491;1;876;143
Municipio;LOUSA;6,115;1,681;11;3,276;1,148
Municipio;MEALHADA;8,172;2,126;13;4,364;1,669
Municipio;MIRA;6,468;1,801;5;3,773;888
Municipio;MIRANDA DO CORVO;4,163;1,271;4;2,385;503
Municipio;MONTEMOR-O-VELHO;9,09;3,095;9;4,741;1,247
Municipio;MORTAGUA;3,814;2,875;0;404;535
Municipio;OLIVEIRA DO HOSPITAL;7,723;6,091;0;703;929
Municipio;PAMPILHOSA DA SERRA;1,539;461;1;932;145
Municipio;PENACOVA;4,068;1,109;3;2,366;590
Municipio;PENELA;1,934;581;2;1,136;215
Municipio;SOURE;6,474;2,226;4;3,585;659
Municipio;TABUA;4,753;3,679;0;518;556
Municipio;VILA NOVA DE POIARES;2,872;880;2;1,668;321
Municipio;ALVAIAZERE;2,003;567;2;1,144;291
Municipio;ANSIAO;3,634;1,091;3;2,115;425
Municipio;BATALHA;6,708;4,682;599;780;647
Municipio;CASTANHEIRA DE PERA;832;240;1;438;153
Municipio;FIGUEIRO DOS VINHOS;1,758;497;2;997;262
Municipio;LEIRIA;57,506;39,058;4,951;6,027;7,471
Municipio;MARINHA GRANDE;20,288;14,399;1,841;2,469;1,58
Municipio;PEDROGAO GRANDE;1,216;395;1;681;139
Municipio;POMBAL;19,986;14,005;1,783;2,204;1,994
Municipio;PORTO DE MOS;8,843;6,257;801;957;828
Municipio;AGUIAR DA BEIRA;2,184;1,78;0;175;230
Municipio;CARREGAL DO SAL;3,92;3,037;0;423;460
Municipio;CASTRO DAIRE;4,564;3,817;0;380;367
Municipio;MANGUALDE;7,023;5,726;0;626;671
Municipio;NELAS;6,184;5,062;0;542;581
Municipio;OLIVEIRA DE FRADES;3,558;2,955;0;317;286
Municipio;PENALVA DO CASTELO;2,624;2,187;0;213;224
Municipio;SANTA COMBA DAO;4,709;3,683;0;516;510
Municipio;SAO PEDRO DO SUL;5,865;4,73;0;508;628
Municipio;SATAO;4,134;3,414;0;337;383
Municipio;TONDELA;10,974;8,695;0;1,195;1,085
Municipio;VILA NOVA DE PAIVA;1,867;1,49;0;147;230
Municipio;VISEU;41,979;34,072;0;3,376;4,53
Municipio;VOUZELA;3,379;2,73;0;292;357
Municipio;CASTELO BRANCO;23,042;12,352;69;7,877;2,744
Municipio;IDANHA-A-NOVA;4,411;2,452;14;1,562;383
Municipio;OLEIROS;1,642;891;5;559;187
Municipio;PENAMACOR;2,183;1,174;0;802;208
Municipio;PROENCA-A-NOVA;2,566;1,402;8;889;267
Municipio;VILA VELHA DE RODAO;1,52;827;5;531;158
Municipio;ABRANTES;14,963;7,665;46;5,469;1,783
Municipio;ALCANENA;2,763;1,321;0;271;1,171
Municipio;CONSTANCIA;954;447;0;92;415
Municipio;ENTRONCAMENTO;4,705;2,213;0;446;2,046
Municipio;FERREIRA DO ZEZERE;2,121;853;0;161;1,107
Municipio;MACAO;2,603;1,391;8;899;306
Municipio;OUREM;17,305;11,771;1,474;1,761;2,3
Municipio;SARDOAL;1,364;709;4;490;161
Municipio;SERTA;4,67;2,517;14;1,638;500
Municipio;TOMAR;8,821;4,271;0;881;3,669
Municipio;TORRES NOVAS;8,692;4,229;0;872;3,591
Municipio;VILA DE REI;1,13;556;3;361;210
Municipio;VILA NOVA DA BARQUINHA;1,784;831;0;173;780
Municipio;ALMEIDA;3,189;1,623;0;1,324;242
Municipio;BELMONTE;2,459;1,113;0;1,078;268
Municipio;CELORICO DA BEIRA;2,736;1,386;0;1,105;246
Municipio;COVILHA;18,861;8,73;0;7,987;2,144
Municipio;FIGUEIRA DE CASTELO RODRIGO;2,587;1,329;0;1;257
