Âmbito Geográfico;Territórios;Total;Público;Privado
Município;MONTEMOR-O-VELHO;0;0;0
Município;MONTEMOR-O-NOVO;0;0;0
Município;MONTALEGRE;0;0;0
Município;MONFORTE;0;0;0
Município;MONDIM DE BASTO;0;0;0
Município;MONCHIQUE;0;0;0
Município;MONÇÃO;0;0;0
Município;MOITA;0;0;0
Município;MOIMENTA DA BEIRA;0;0;0
Município;MOGADOURO;0;0;0
Município;MIRANDELA;1;1;0
Município;MIRANDA DO DOURO;0;0;0
Município;MIRANDA DO CORVO;0;0;0
Município;MIRA;0;0;0
Município;MESÃO FRIO;0;0;0
Município;MÉRTOLA;0;0;0
Município;MELGAÇO;1;1;0
NUTS III;MÉDIO TEJO;3;3;0
Município;MÊDA;0;0;0
Município;MEALHADA;0;0;0
Município;MATOSINHOS;3;1;2
Município;MARVÃO;0;0;0
Município;MARINHA GRANDE;1;0;1
Município;MARCO DE CANAVESES;0;0;0
Município;MANTEIGAS;0;0;0
Município;MANGUALDE;0;0;0
Município;MAIA;3;0;3
Município;MAFRA;0;0;0
Município;MADALENA;0;0;0
Município;MACHICO;0;0;0
Município;MACEDO DE CAVALEIROS;0;0;0
Município;MAÇÃO;0;0;0
Município;LOUSADA;0;0;0
Município;LOUSÃ;0;0;0
Município;LOURINHÃ;0;0;0
Município;LOURES;0;0;0
Município;LOULÉ;0;0;0
Município;LISBOA;62;36;26
NUTS III;LEZÍRIA DO TEJO;6;5;1
Município;LEIRIA;4;3;1
Município;LAMEGO;1;1;0
Município;LAJES DO PICO;0;0;0
Município;LAJES DAS FLORES;0;0;0
Município;LAGOS;0;0;0
Município;LAGOA [R.A.A.];0;0;0
Município;LAGOA;0;0;0
Município;ÍLHAVO;0;0;0
NUTS III;ILHA TERCEIRA;3;3;0
NUTS III;ILHA GRACIOSA;0;0;0
NUTS III;ILHA DO PICO;0;0;0
NUTS III;ILHA DO FAIAL;0;0;0
NUTS III;ILHA DO CORVO;0;0;0
NUTS III;ILHA DE SÃO MIGUEL;5;5;0
NUTS III;ILHA DE SÃO JORGE;0;0;0
NUTS III;ILHA DE SANTA MARIA;0;0;0
NUTS III;ILHA DE PORTO SANTO;0;0;0
NUTS III;ILHA DAS FLORES;0;0;0
NUTS III;ILHA DA MADEIRA;8;6;2
Município;IDANHA-A-NOVA;1;1;0
Município;HORTA;0;0;0
Município;GUIMARÃES;1;0;1
Município;GUARDA;3;3;0
Município;GRÂNDOLA;0;0;0
Município;GOUVEIA;0;0;0
Município;GONDOMAR;0;0;0
Município;GOLEGÃ;0;0;0
Município;GÓIS;0;0;0
Município;GAVIÃO;0;0;0
Município;FUNDÃO;0;0;0
Município;FUNCHAL;8;6;2
Município;FRONTEIRA;0;0;0
Município;FREIXO DE ESPADA À CINTA;0;0;0
Município;FORNOS DE ALGODRES;0;0;0
Município;FIGUEIRÓ DOS VINHOS;0;0;0
Município;FIGUEIRA DE CASTELO RODRIGO;0;0;0
Município;FIGUEIRA DA FOZ;0;0;0
Município;FERREIRA DO ZÊZERE;0;0;0
Município;FERREIRA DO ALENTEJO;0;0;0
Município;FELGUEIRAS;1;1;0
Município;FARO;8;8;0
Município;FAFE;2;0;2
Município;ÉVORA;5;5;0
Município;ESTREMOZ;0;0;0
Município;ESTARREJA;0;0;0
Município;ESPOSENDE;0;0;0
Município;ESPINHO;0;0;0
Município;ENTRONCAMENTO;0;0;0
Município;ELVAS;1;1;0
NUTS III;DOURO;6;6;0
Município;CUBA;0;0;0
Município;CRATO;0;0;0
Município;COVILHÃ;1;1;0
Município;CORVO;0;0;0
Município;CORUCHE;0;0;0
Município;CONSTÂNCIA;0;0;0
Município;CONDEIXA-A-NOVA;0;0;0
Município;COIMBRA;18;16;2
Município;CINFÃES;0;0;0
Município;CHAVES;1;0;1
Município;CHAMUSCA;0;0;0
NUTS II;CENTRO;52;44;8
Município;CELORICO DE BASTO;0;0;0
Município;CELORICO DA BEIRA;0;0;0
NUTS III;CÁVADO;10;7;3
Município;CASTRO VERDE;0;0;0
Município;CASTRO MARIM;0;0;0
Município;CASTRO DAIRE;0;0;0
Município;CASTELO DE VIDE;0;0;0
Município;CASTELO DE PAIVA;0;0;0
Município;CASTELO BRANCO;5;5;0
Município;CASTANHEIRA DE PÊRA;0;0;0
Município;CASCAIS;3;2;1
Município;CARTAXO;0;0;0
Município;CARREGAL DO SAL;0;0;0
Município;CARRAZEDA DE ANSIÃES;0;0;0
Município;CANTANHEDE;0;0;0
Município;CAMPO MAIOR;0;0;0
Município;CAMINHA;0;0;0
Município;CÂMARA DE LOBOS;0;0;0
Município;CALHETA [R.A.M.];0;0;0
Município;CALHETA [R.A.A.];0;0;0
Município;CALDAS DA RAINHA;1;1;0
Município;CADAVAL;0;0;0
Município;CABECEIRAS DE BASTO;0;0;0
Município;BRAGANÇA;4;4;0
Município;BRAGA;5;3;2
Município;BOTICAS;0;0;0
Município;BORBA;0;0;0
Município;BOMBARRAL;0;0;0
Município;BENAVENTE;0;0;0
Município;BELMONTE;0;0;0
Município;BEJA;4;4;0
NUTS III;BEIRAS E SERRA DA ESTRELA;5;5;0
NUTS III;BEIRA BAIXA;6;6;0
Município;BATALHA;0;0;0
Município;BARREIRO;1;1;0
Município;BARRANCOS;0;0;0
Município;BARCELOS;4;4;0
NUTS III;BAIXO ALENTEJO;4;4;0
Município;BAIÃO;0;0;0
Município;AZAMBUJA;0;0;0
Município;AVIS;0;0;0
Município;AVEIRO;4;3;1
NUTS III;AVE;5;0;5
Município;ARRUDA DOS VINHOS;0;0;0
Município;ARRONCHES;0;0;0
Município;ARRAIOLOS;0;0;0
Município;AROUCA;0;0;0
Município;ARMAMAR;0;0;0
Município;ARGANIL;0;0;0
NUTS III;ÁREA METROPOLITANA DO PORTO;62;23;39
NUTS II;ÁREA METROPOLITANA DE LISBOA;86;51;35
NUTS III;ÁREA METROPOLITANA DE LISBOA;86;51;35
Município;ARCOS DE VALDEVEZ;0;0;0
Município;ANSIÃO;0;0;0
Município;ANGRA DO HEROÍSMO;3;3;0
Município;ANADIA;0;0;0
Município;AMARES;1;0;1
Município;AMARANTE;0;0;0
Município;AMADORA;1;1;0
Município;ALVITO;0;0;0
Município;ALVAIÁZERE;0;0;0
NUTS III;ALTO TÂMEGA;1;0;1
NUTS III;ALTO ALENTEJO;4;4;0
Município;ALTER DO CHÃO;0;0;0
Município;ALPIARÇA;0;0;0
Município;ALMODÔVAR;0;0;0
Município;ALMEIRIM;0;0;0
Município;ALMEIDA;0;0;0
Município;ALMADA;7;2;5
Município;ALJUSTREL;0;0;0
Município;ALJEZUR;0;0;0
Município;ALIJÓ;0;0;0
NUTS II;ALGARVE;11;9;2
NUTS III;ALGARVE;11;9;2
Município;ALFÂNDEGA DA FÉ;0;0;0
NUTS III;ALENTEJO LITORAL;0;0;0
NUTS III;ALENTEJO CENTRAL;5;5;0
NUTS II;ALENTEJO;19;18;1
Município;ALENQUER;0;0;0
Município;ALCOUTIM;0;0;0
Município;ALCOCHETE;0;0;0
Município;ALCOBAÇA;0;0;0
Município;ALCANENA;0;0;0
Município;ALCÁCER DO SAL;0;0;0
Município;ALBUFEIRA;0;0;0
Município;ALBERGARIA-A-VELHA;0;0;0
Município;ALANDROAL;0;0;0
Município;AGUIAR DA BEIRA;0;0;0
Município;ÁGUEDA;1;1;0
Município;ABRANTES;1;1;0
 ; ; ; ; 
