Municipio;CONDEIXA-A-NOVA;
Municipio;FIGUEIRA DA FOZ;154
Municipio;GOIS;0
Municipio;LOUSA;0
Municipio;MEALHADA;
Municipio;MIRA;0
Municipio;MIRANDA DO CORVO;0
Municipio;MONTEMOR-O-VELHO;0
Municipio;MORTAGUA;0
Municipio;OLIVEIRA DO HOSPITAL;
Municipio;PAMPILHOSA DA SERRA;0
Municipio;PENACOVA;0
Municipio;PENELA;0
Municipio;SOURE;0
Municipio;TABUA;0
Municipio;VILA NOVA DE POIARES;0
Municipio;ALVAIAZERE;
Municipio;ANSIAO;
Municipio;BATALHA;0
Municipio;CASTANHEIRA DE PERA;0
Municipio;FIGUEIRO DOS VINHOS;0
Municipio;LEIRIA;
Municipio;MARINHA GRANDE;
Municipio;PEDROGAO GRANDE;0
Municipio;POMBAL;0
Municipio;PORTO DE MOS;0
Municipio;AGUIAR DA BEIRA;0
Municipio;CARREGAL DO SAL;0
Municipio;CASTRO DAIRE;0
Municipio;MANGUALDE;0
Municipio;NELAS;0
Municipio;OLIVEIRA DE FRADES;0
Municipio;PENALVA DO CASTELO;0
Municipio;SANTA COMBA DAO;0
Municipio;SAO PEDRO DO SUL;0
Municipio;SATAO;0
Municipio;TONDELA;0
Municipio;VILA NOVA DE PAIVA;0
Municipio;VISEU;
Municipio;VOUZELA;0
Municipio;CASTELO BRANCO;230
Municipio;IDANHA-A-NOVA;0
Municipio;OLEIROS;0
Municipio;PENAMACOR;0
Municipio;PROENCA-A-NOVA;0
Municipio;VILA VELHA DE RODAO;0
Municipio;ABRANTES;0
Municipio;ALCANENA;
Municipio;CONSTANCIA;21
Municipio;ENTRONCAMENTO;
Municipio;FERREIRA DO ZEZERE;0
Municipio;MACAO;0
Municipio;OUREM;0
Municipio;SARDOAL;0
Municipio;SERTA;0
Municipio;TOMAR;422
Municipio;TORRES NOVAS;0
Municipio;VILA DE REI;0
Municipio;VILA NOVA DA BARQUINHA;0
Municipio;ALMEIDA;0
Municipio;BELMONTE;0
Municipio;CELORICO DA BEIRA;0
Municipio;COVILHA;315
Municipio;FIGUEIRA DE CASTELO RODRIGO;0
Municipio;FORNOS DE ALGODRES;0
