Group Features ID;Código Grupo
F10F14F17F29;Garagem (box)Cozinha EquipadaEstacionamentoCaldeira
F10F14F18F20F22;Garagem (box)Cozinha EquipadaCondominio FechadoPiscinaElevador
F10F14F18F22;Garagem (box)Cozinha EquipadaCondominio FechadoElevador
F10F14F19F20F22;Garagem (box)Cozinha EquipadaGas CanalizadoPiscinaElevador
F10F14F20F22F27;Garagem (box)Cozinha EquipadaPiscinaElevadorTerraco
F10F14F22;Garagem (box)Cozinha EquipadaElevador
F10F14F22F23;Garagem (box)Cozinha EquipadaElevadorKitchenette
F10F14F22F27;Garagem (box)Cozinha EquipadaElevadorTerraco
F10F14F24;Garagem (box)Cozinha EquipadaMarquise
F10F14F27;Garagem (box)Cozinha EquipadaTerraco
F10F15;Garagem (box)Aquecimento Central
F10F15F16F19F22;Garagem (box)Aquecimento CentralMobiladoGas CanalizadoElevador
F10F15F18F22F23F29;Garagem (box)Aquecimento CentralCondominio FechadoElevadorKitchenetteCaldeira
F10F15F19;Garagem (box)Aquecimento CentralGas Canalizado
F10F15F19F22;Garagem (box)Aquecimento CentralGas CanalizadoElevador
F10F15F19F22F29;Garagem (box)Aquecimento CentralGas CanalizadoElevadorCaldeira
F10F15F19F29;Garagem (box)Aquecimento CentralGas CanalizadoCaldeira
F10F15F22;Garagem (box)Aquecimento CentralElevador
F10F15F22F27;Garagem (box)Aquecimento CentralElevadorTerraco
F10F15F22F27F29;Garagem (box)Aquecimento CentralElevadorTerracoCaldeira
F10F15F22F29;Garagem (box)Aquecimento CentralElevadorCaldeira
F10F15F29;Garagem (box)Aquecimento CentralCaldeira
F10F16F18F19;Garagem (box)MobiladoCondominio FechadoGas Canalizado
F10F16F22;Garagem (box)MobiladoElevador
F10F16F27;Garagem (box)MobiladoTerraco
F10F17;Garagem (box)Estacionamento
F10F17F19;Garagem (box)EstacionamentoGas Canalizado
F10F17F20F22;Garagem (box)EstacionamentoPiscinaElevador
